Council name	New Zealand	 < < Please select the territorial authority you wish to view here 	  	  	  	  	  	  	  	  	  	  	  	  	  	
		 In order to maintain the accuracy of the charts on the subsequent tabs, do not filter the rest of this table. 	  	  	  	  	  	  	  	  	  	  	  	  	  	
Sum of Value	 Column Labels 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
Row Labels	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
A_Registered dogs (total)	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
all pure and cross breeds	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Poodle, Toy	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,403 	 3,402 	 3,384 	 3,431 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,720 	 1,729 	 1,760 	 1,756 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,683 	 1,673 	 1,624 	 1,675 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,058 	 2,161 	 2,212 	 2,276 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,170 	 2,297 	 2,410 	 2,587 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Retriever, Golden	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,458 	 8,979 	 8,781 	 8,843 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,665 	 4,464 	 4,356 	 4,332 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,793 	 4,515 	 4,425 	 4,511 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,490 	 5,393 	 5,283 	 5,325 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,313 	 5,597 	 5,933 	 6,501 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8 	 6 	 7 	 8 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2 	 2 	 1 	 1 
Retriever, Labrador	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 43,167 	 41,670 	 42,062 	 41,835 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 21,713 	 20,900 	 21,158 	 20,875 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 21,454 	 20,770 	 20,904 	 20,960 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 22,671 	 22,551 	 22,978 	 23,508 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 24,319 	 25,777 	 27,864 	 29,946 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 83 	 79 	 70 	 73 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 15 	 11 	 12 	 12 
Rottweiler	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 6,809 	 6,693 	 6,913 	 7,055 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,320 	 3,269 	 3,383 	 3,446 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,489 	 3,424 	 3,530 	 3,609 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,784 	 2,760 	 2,867 	 3,016 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,575 	 4,808 	 5,228 	 5,552 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 105 	 113 	 114 	 116 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 31 	 27 	 25 	 27 
Schnauzer, Miniature	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,010 	 5,530 	 6,005 	 6,615 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,471 	 2,685 	 2,909 	 3,236 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,539 	 2,845 	 3,096 	 3,379 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,103 	 3,612 	 3,972 	 4,430 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,839 	 4,429 	 4,927 	 5,614 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 1 	 - 0 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Shepherd, German	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 12,301 	 11,970 	 11,677 	 11,687 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 6,257 	 6,078 	 5,980 	 5,952 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 6,044 	 5,892 	 5,697 	 5,735 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 6,039 	 5,933 	 5,845 	 5,866 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 7,330 	 7,890 	 8,342 	 9,003 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 138 	 135 	 149 	 138 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 41 	 42 	 41 	 43 
Shih Tzu	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,966 	 4,290 	 4,666 	 5,129 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,895 	 2,060 	 2,233 	 2,480 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,071 	 2,230 	 2,433 	 2,649 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,269 	 2,590 	 2,883 	 3,325 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,957 	 3,322 	 3,704 	 4,202 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 1 	 2 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 1 	 - 0 
Spaniel, Cavalier King Charles	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,997 	 2,912 	 2,918 	 2,891 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,461 	 1,419 	 1,422 	 1,388 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,536 	 1,493 	 1,496 	 1,503 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,829 	 1,854 	 1,891 	 1,920 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,937 	 2,037 	 2,156 	 2,301 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Spaniel, Cocker	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,304 	 5,167 	 5,107 	 5,040 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,659 	 2,598 	 2,548 	 2,501 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,645 	 2,569 	 2,559 	 2,539 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,218 	 3,193 	 3,184 	 3,245 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,244 	 3,404 	 3,572 	 3,795 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4 	 4 	 6 	 5 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Spaniel, English Springer	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,071 	 3,020 	 3,115 	 3,134 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,562 	 1,514 	 1,561 	 1,559 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,509 	 1,506 	 1,554 	 1,575 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,447 	 1,426 	 1,439 	 1,536 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,749 	 1,885 	 2,104 	 2,297 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8 	 8 	 8 	 8 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 - 0 	 - 0 	 - 0 
Terrier, American Pit Bull	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,970 	 3,001 	 2,782 	 2,632 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,334 	 1,365 	 1,293 	 1,260 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,636 	 1,636 	 1,489 	 1,372 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,673 	 1,736 	 1,639 	 1,647 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,431 	 2,484 	 2,286 	 2,234 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,611 	 2,637 	 2,434 	 2,289 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 56 	 58 	 54 	 52 
Terrier, Fox (Smooth)	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 17,995 	 16,886 	 16,571 	 15,807 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,477 	 8,899 	 8,707 	 8,326 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8,518 	 7,987 	 7,864 	 7,481 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 10,408 	 9,943 	 9,873 	 9,583 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8,319 	 8,746 	 9,343 	 9,732 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 38 	 38 	 41 	 32 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2 	 - 0 	 2 	 3 
Terrier, Jack Russell	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 19,656 	 18,658 	 18,602 	 18,066 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,666 	 9,175 	 9,135 	 8,833 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,990 	 9,483 	 9,467 	 9,233 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 11,374 	 11,015 	 11,089 	 11,212 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,763 	 10,201 	 10,967 	 11,615 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 38 	 36 	 28 	 36 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4 	 3 	 4 	 3 
Terrier, Staffordshire Bull	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8,623 	 8,830 	 9,173 	 9,554 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,509 	 4,616 	 4,783 	 4,970 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,114 	 4,214 	 4,390 	 4,584 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,326 	 4,565 	 4,789 	 5,346 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,635 	 6,166 	 6,780 	 7,517 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 86 	 88 	 88 	 95 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 18 	 18 	 21 	 16 
Terrier, West Highland White	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,358 	 3,380 	 3,412 	 3,356 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,677 	 1,693 	 1,697 	 1,686 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,681 	 1,687 	 1,715 	 1,670 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,221 	 2,290 	 2,344 	 2,409 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,059 	 2,219 	 2,385 	 2,501 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 6 	 4 	 5 	 3 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
zz_other (pure)	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 81,361 	 80,087 	 81,530 	 83,233 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 40,224 	 39,512 	 40,325 	 40,954 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 41,137 	 40,575 	 41,205 	 42,279 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 42,550 	 43,180 	 44,091 	 45,701 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 48,496 	 51,997 	 56,215 	 61,206 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 487 	 479 	 566 	 584 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 86 	 79 	 97 	 95 
C_Registered cross breed	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
all (cross)	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 178,112 	 183,073 	 191,201 	 199,902 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 89,419 	 91,818 	 95,964 	 100,132 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 88,693 	 91,255 	 95,237 	 99,770 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 103,042 	 109,553 	 116,629 	 125,992 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 110,490 	 122,774 	 135,058 	 149,011 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,258 	 4,443 	 4,564 	 4,991 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 296 	 278 	 296 	 323 
D_Owners	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
classified	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1008_probationary	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 111 	 79 	 109 	 69 
1009_disqualified	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 176 	 219 	 232 	 219 
total	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1010_currently registered dog owners	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 385,631 	 386,932 	 399,844 	 414,541 
1011_infringements	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 7,932 	 8,517 	 8,354 	 7,574 
E Ministry of Justice Statistics	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
under the Dog Control Act 1996	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
